timestamp,heartrate
2026-03-15T06:34:16.992650+00:00,91
2026-03-15T06:34:17.040469+00:00,91
2026-03-15T06:34:18.183061+00:00,91
2026-03-15T06:34:18.278937+00:00,91
2026-03-15T06:34:18.404533+00:00,91
2026-03-15T06:34:19.643459+00:00,91
2026-03-15T06:34:19.783791+00:00,90
2026-03-15T06:34:19.925888+00:00,90
2026-03-15T06:34:20.301259+00:00,90
2026-03-15T06:34:21.040182+00:00,90
2026-03-15T06:34:46.854114+00:00,99
2026-03-15T06:34:47.042680+00:00,99
2026-03-15T06:34:47.514820+00:00,99
2026-03-15T06:34:48.190362+00:00,101
2026-03-15T06:34:48.681376+00:00,101
2026-03-15T06:34:49.060297+00:00,102
2026-03-15T06:34:49.676684+00:00,102
2026-03-15T06:34:50.055035+00:00,102
2026-03-15T06:34:50.540885+00:00,102
2026-03-15T06:34:51.044731+00:00,102
2026-03-15T06:35:17.255505+00:00,105
2026-03-15T06:35:18.181647+00:00,105
2026-03-15T06:35:18.260009+00:00,105
2026-03-15T06:35:18.385278+00:00,105
2026-03-15T06:35:19.297187+00:00,105
2026-03-15T06:35:19.422184+00:00,105
2026-03-15T06:35:19.941317+00:00,105
2026-03-15T06:35:20.286016+00:00,105
2026-03-15T06:35:20.814760+00:00,105
2026-03-15T06:35:21.555243+00:00,105
