timestamp,sound,light,movement,temperature,humidity,heartrate
2026-01-20T16:17:23.227683+00:00,78,1059,0.05,24.69,60.46,85
2026-01-20T16:17:23.752163+00:00,76,1041,0.03,24.7,60.47,85
2026-01-20T16:17:24.325060+00:00,74,1042,0.06,24.71,60.48,85
2026-01-20T16:17:24.861825+00:00,89,1065,0.01,24.71,60.49,85
2026-01-20T16:17:25.419841+00:00,75,1043,0.04,24.7,60.53,85
2026-01-20T16:17:26.025328+00:00,75,1065,0.07,24.71,60.53,85
2026-01-20T16:17:26.501633+00:00,74,1053,0.05,24.71,60.54,85
2026-01-20T16:17:27.280781+00:00,72,1045,0.03,24.72,60.55,85
2026-01-20T16:17:27.611731+00:00,81,1061,0.04,24.72,60.52,85
2026-01-20T16:17:28.163785+00:00,85,1041,0.08,24.71,60.44,85
2026-01-20T16:17:28.719156+00:00,67,1067,0.08,24.71,60.41,85
2026-01-20T16:17:29.320748+00:00,75,1045,0.03,24.71,60.41,85
2026-01-20T16:17:29.828136+00:00,89,1046,0.05,24.71,60.4,85
2026-01-20T16:17:30.416390+00:00,69,1057,0.05,24.71,60.4,85
2026-01-20T16:17:30.940279+00:00,85,1043,0.04,24.72,60.41,85
2026-01-20T16:17:31.527732+00:00,79,1047,0.07,24.71,60.41,85
2026-01-20T16:17:32.034427+00:00,88,1065,0.1,24.72,60.44,85
2026-01-20T16:17:32.621099+00:00,81,1046,0.06,24.72,60.45,85
2026-01-20T16:17:33.143705+00:00,81,1058,0.03,24.73,60.47,85
2026-01-20T16:17:33.697785+00:00,66,1045,0.03,24.73,60.51,85
2026-01-20T16:17:34.271499+00:00,90,1045,0.04,24.74,60.54,85
2026-01-20T16:17:34.840397+00:00,82,1060,0.05,24.73,60.54,85
2026-01-20T16:17:35.264931+00:00,100,1041,0.06,24.74,60.57,85
2026-01-20T16:17:35.900301+00:00,82,1022,0.06,24.74,60.59,85
2026-01-20T16:17:36.361711+00:00,85,1049,0.07,24.74,60.61,85
2026-01-20T16:17:36.978833+00:00,89,1042,0.05,24.74,60.64,85
2026-01-20T16:17:37.565254+00:00,69,1058,0.03,24.73,60.6,85
2026-01-20T16:17:38.263334+00:00,72,1043,0.03,24.74,60.6,85
2026-01-20T16:17:38.646050+00:00,74,1041,0.12,24.75,60.65,85
2026-01-20T16:17:39.169461+00:00,79,1065,0.13,24.74,60.68,85
2026-01-20T16:17:39.771737+00:00,80,1046,0.1,24.74,60.68,85
2026-01-20T16:17:40.341101+00:00,86,1057,0.06,24.74,60.7,85
2026-01-20T16:17:40.847833+00:00,77,1051,0.09,24.74,60.71,85
2026-01-20T16:17:41.609730+00:00,77,1041,0.08,24.75,60.73,85
2026-01-20T16:17:41.942318+00:00,82,1047,0.04,24.75,60.78,85
2026-01-20T16:17:42.511025+00:00,85,1043,0.06,24.74,60.83,85
2026-01-20T16:17:43.069486+00:00,65,1063,0.02,24.74,60.87,85
2026-01-20T16:17:43.609007+00:00,96,1042,0.06,24.74,60.9,85
2026-01-20T16:17:44.178103+00:00,73,1044,0.08,24.75,60.91,85
2026-01-20T16:17:44.717676+00:00,73,1066,0.04,24.74,60.9,85
2026-01-20T16:17:45.303124+00:00,70,1047,0.05,24.74,60.92,85
2026-01-20T16:17:45.838092+00:00,66,1043,0.06,24.74,60.86,85
2026-01-20T16:17:46.377845+00:00,80,1061,0.1,24.75,60.81,85
2026-01-20T16:17:46.949220+00:00,95,1043,0.08,24.74,60.8,85
2026-01-20T16:17:47.455448+00:00,79,1068,0.07,24.74,60.79,85
2026-01-20T16:17:48.246941+00:00,83,1043,0.04,24.75,60.79,85
2026-01-20T16:17:48.767451+00:00,71,1046,0.05,24.72,60.81,85
2026-01-20T16:17:49.148036+00:00,70,1063,0.07,24.74,60.83,85
2026-01-20T16:17:49.673153+00:00,73,1040,0.08,24.74,60.8,85
2026-01-20T16:17:50.228343+00:00,74,1056,0.07,24.74,60.82,85
2026-01-20T16:17:50.794576+00:00,96,1058,0.09,24.73,60.79,85
2026-01-20T16:17:51.364145+00:00,77,1056,0.09,24.73,60.74,85
2026-01-20T16:17:51.915926+00:00,73,1059,0.1,24.73,60.71,85
2026-01-20T16:17:52.437357+00:00,78,1035,0.05,24.73,60.73,85
2026-01-20T16:17:52.978133+00:00,83,1043,0.09,24.75,60.75,85
2026-01-20T16:17:53.547545+00:00,79,1062,0.09,24.75,60.78,85
2026-01-20T16:17:54.085970+00:00,87,1047,0.06,24.73,60.76,85
2026-01-20T16:17:54.654471+00:00,85,1058,0.07,24.75,60.78,85
2026-01-20T16:17:55.196039+00:00,86,1042,0.04,24.75,60.78,85
2026-01-20T16:17:55.762426+00:00,84,1046,0.03,24.76,60.78,85
2026-01-20T16:17:56.281987+00:00,67,1066,0.05,24.76,60.79,85
2026-01-20T16:17:56.853795+00:00,73,1044,0.04,24.77,60.8,85
2026-01-20T16:17:57.372490+00:00,81,1057,0.02,24.77,60.83,85
2026-01-20T16:17:57.971060+00:00,96,1047,0.05,24.75,60.82,85
